date,GME,"0.0:Complaints/Comments of other users (shills, trolls, etc.)",0.0:Crime/Nefarious Use of Stock Market,0.0:Data Posts/Nonsense,"0.0:Diamond Hands, Apes Vs. Hedge Funds ","0.0:MOD Posts, Many Links","0.0:New Post Links, Other Links",0.0:Press Releases/News,0.0:Short Squeeze by Holding Stock,0.0:Trading Accounts,0.0:Trading/Shorting GME,2.0:Crime/Nefarious Use of Stock Market,"2.0:Diamond Hands, Apes Vs. Hedge Funds ",2.0:Press Releases/News,"3.0:Complaints/Comments of other users (shills, trolls, etc.)",3.0:Crime/Nefarious Use of Stock Market,3.0:Data Posts/Nonsense,"3.0:Diamond Hands, Apes Vs. Hedge Funds ","3.0:MOD Posts, Many Links","3.0:New Post Links, Other Links",3.0:Press Releases/News,3.0:Short Squeeze by Holding Stock,3.0:Trading Accounts,3.0:Trading/Shorting GME,"5.0:Complaints/Comments of other users (shills, trolls, etc.)",5.0:Crime/Nefarious Use of Stock Market,5.0:Data Posts/Nonsense,"5.0:Diamond Hands, Apes Vs. Hedge Funds ","5.0:MOD Posts, Many Links","5.0:New Post Links, Other Links",5.0:Press Releases/News,5.0:Short Squeeze by Holding Stock,5.0:Trading Accounts,5.0:Trading/Shorting GME,"6.0:Complaints/Comments of other users (shills, trolls, etc.)",6.0:Crime/Nefarious Use of Stock Market,6.0:Data Posts/Nonsense,"6.0:Diamond Hands, Apes Vs. Hedge Funds ","6.0:MOD Posts, Many Links","6.0:New Post Links, Other Links",6.0:Press Releases/News,6.0:Short Squeeze by Holding Stock,6.0:Trading Accounts,6.0:Trading/Shorting GME,"7.0:Complaints/Comments of other users (shills, trolls, etc.)",7.0:Crime/Nefarious Use of Stock Market,7.0:Data Posts/Nonsense,"7.0:Diamond Hands, Apes Vs. Hedge Funds ","7.0:MOD Posts, Many Links","7.0:New Post Links, Other Links",7.0:Press Releases/News,7.0:Short Squeeze by Holding Stock,7.0:Trading Accounts,7.0:Trading/Shorting GME,all
2021-01-31,81.25,4.0,4.0,1.0,18.0,1.0,1.0,2.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,7.0,2.0,6.0,0.0,4.0,6.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,87.0
2021-02-01,56.25,10.0,6.0,2.0,64.0,7.0,8.0,6.0,9.0,6.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,2.0,6.0,7.0,3.0,20.0,6.0,5.0,3.0,3.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,210.0
2021-02-02,22.5,21.0,12.0,8.0,66.0,9.0,7.0,8.0,25.0,4.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,24.0,4.0,5.0,5.0,3.0,5.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0
2021-02-03,23.102500915527344,11.0,5.0,3.0,39.0,4.0,11.0,7.0,9.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,3.0,8.0,4.0,2.0,19.0,2.0,3.0,3.0,8.0,1.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,171.0
2021-02-04,13.375,13.0,4.0,1.0,41.0,5.0,6.0,5.0,7.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,2.0,6.0,0.0,1.0,10.0,2.0,4.0,3.0,4.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0
2021-02-07,15.942500114440918,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2021-02-08,15.0,4.0,2.0,1.0,15.0,2.0,7.0,3.0,6.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,2.0,4.0,2.0,1.0,12.0,2.0,2.0,1.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0
2021-02-09,12.577500343322754,9.0,2.0,5.0,22.0,6.0,2.0,1.0,10.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,6.0,3.0,1.0,9.0,3.0,2.0,1.0,3.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2021-02-10,12.800000190734863,17.0,6.0,1.0,32.0,8.0,33.0,5.0,10.0,6.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,1.0,1.0,3.0,0.0,1.0,3.0,1.0,3.0,34.0,6.0,6.0,1.0,11.0,2.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,229.0
2021-02-11,12.774999618530272,28.0,8.0,8.0,72.0,16.0,11.0,4.0,22.0,8.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,6.0,1.0,0.0,1.0,2.0,1.0,0.0,26.0,10.0,1.0,34.0,2.0,16.0,8.0,15.0,2.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.0
