date,GME
2021-07-18,42.2599983215332
2021-07-19,43.372501373291016
2021-07-20,47.79499816894531
2021-07-21,46.45249938964844
2021-07-22,44.712501525878906
2021-07-23,45.09000015258789
2021-07-24,45.09000015258789
2021-07-25,45.09000015258789
2021-07-26,45.98500061035156
2021-07-27,44.6349983215332
2021-07-28,42.27999877929688
2021-07-29,41.21500015258789
2021-07-30,40.27999877929688
2021-07-31,40.27999877929688
2021-08-01,40.27999877929688
2021-08-02,39.41249847412109
2021-08-03,38.1875
2021-08-04,36.70000076293945
2021-08-05,38.36000061035156
2021-08-06,37.942501068115234
2021-08-07,37.942501068115234
2021-08-08,37.942501068115234
2021-08-09,40.282501220703125
2021-08-10,39.76250076293945
2021-08-11,39.69499969482422
2021-08-12,40.587501525878906
2021-08-13,40.630001068115234
